# Map of average order parameters calculated for atom type POPC-C22-32 of molecule type POPC.
# Calculated with 'gorder v0.4.0'.
@ xlabel x-dimension [nm]
@ ylabel y-dimension [nm]
@ zlabel order parameter ($-S_{CH}$)
@ zrange -1.0 0.5 0.25
$ type colorbar
$ colormap seismic_r
0.8000 1.0000 0.0817
0.8000 1.1000 0.0977
0.8000 1.2000 0.0756
0.8000 1.3000 0.0992
0.8000 1.4000 0.0932
0.8000 1.5000 0.1048
0.8000 1.6000 0.1025
0.8000 1.7000 0.1090
0.8000 1.8000 0.1159
0.8000 1.9000 0.0820
0.8000 2.0000 0.0889
0.8000 2.1000 0.0779
0.8000 2.2000 0.0893
0.8000 2.3000 0.0858
0.8000 2.4000 0.0659
0.8000 2.5000 0.0858
0.8000 2.6000 0.0747
0.8000 2.7000 0.0674
0.8000 2.8000 0.0813
0.8000 2.9000 0.0547
0.8000 3.0000 0.0663
0.8000 3.1000 0.0441
0.8000 3.2000 0.0656
0.8000 3.3000 0.0633
0.8000 3.4000 0.0864
0.8000 3.5000 0.0983
0.8000 3.6000 0.0962
0.8000 3.7000 0.0848
0.8000 3.8000 0.0723
0.8000 3.9000 0.0998
0.8000 4.0000 0.0991
0.8000 4.1000 0.0889
0.8000 4.2000 0.1150
0.8000 4.3000 0.0680
0.8000 4.4000 0.0754
0.8000 4.5000 0.0942
0.8000 4.6000 0.0970
0.8000 4.7000 0.0835
0.8000 4.8000 0.0779
0.8000 4.9000 0.1094
0.8000 5.0000 0.1093
0.8000 5.1000 0.0858
0.8000 5.2000 0.0894
0.8000 5.3000 0.0894
0.8000 5.4000 0.0962
0.8000 5.5000 0.0759
0.8000 5.6000 0.0865
0.8000 5.7000 0.0878
0.8000 5.8000 0.0838
0.8000 5.9000 0.1044
0.8000 6.0000 0.0874
0.8000 6.1000 0.1080
0.8000 6.2000 0.0900
0.8000 6.3000 0.0752
0.8000 6.4000 0.0859
0.8000 6.5000 0.1193
0.8000 6.6000 0.0787
0.8000 6.7000 0.0773
0.8000 6.8000 0.0433
0.8000 6.9000 0.0430
0.8000 7.0000 0.0765
0.8000 7.1000 0.0957
0.8000 7.2000 0.0918
0.8000 7.3000 0.0898
0.8000 7.4000 0.1051
0.8000 7.5000 0.0845
0.8000 7.6000 0.0796
0.8000 7.7000 0.1040
0.8000 7.8000 0.0824
0.8000 7.9000 0.0971
0.8000 8.0000 0.0952
0.8000 8.1000 0.0659
0.8000 8.2000 0.0825
0.8000 8.3000 0.0855
0.8000 8.4000 0.0900
0.8000 8.5000 0.0842
0.8000 8.6000 0.0981
0.8000 8.7000 0.0971
0.8000 8.8000 0.1033
0.8000 8.9000 0.0800
0.8000 9.0000 0.0608
0.8000 9.1000 0.0942
0.9000 0.0000 0.0708
0.9000 0.1000 0.0596
0.9000 0.2000 0.1001
0.9000 0.3000 0.0872
0.9000 0.4000 0.0863
0.9000 0.5000 0.0870
0.9000 0.6000 0.0880
0.9000 0.7000 0.0976
0.9000 0.8000 0.0894
0.9000 0.9000 0.0922
0.9000 1.0000 0.0937
0.9000 1.1000 0.0783
0.9000 1.2000 0.0993
0.9000 1.3000 0.0921
0.9000 1.4000 0.0992
0.9000 1.5000 0.1010
0.9000 1.6000 0.1194
0.9000 1.7000 0.0900
0.9000 1.8000 0.0933
0.9000 1.9000 0.0844
0.9000 2.0000 0.0869
0.9000 2.1000 0.0903
0.9000 2.2000 0.0936
0.9000 2.3000 0.0951
0.9000 2.4000 0.0982
0.9000 2.5000 0.0871
0.9000 2.6000 0.0830
0.9000 2.7000 0.0778
0.9000 2.8000 0.0596
0.9000 2.9000 0.0566
0.9000 3.0000 0.0615
0.9000 3.1000 0.0533
0.9000 3.2000 0.0742
0.9000 3.3000 0.0797
0.9000 3.4000 0.0814
0.9000 3.5000 0.0845
0.9000 3.6000 0.1000
0.9000 3.7000 0.0682
0.9000 3.8000 0.0710
0.9000 3.9000 0.0829
0.9000 4.0000 0.0884
0.9000 4.1000 0.0723
0.9000 4.2000 0.0989
0.9000 4.3000 0.1077
0.9000 4.4000 0.0779
0.9000 4.5000 0.0996
0.9000 4.6000 0.1010
0.9000 4.7000 0.1094
0.9000 4.8000 0.0761
0.9000 4.9000 0.0936
0.9000 5.0000 0.1014
0.9000 5.1000 0.1007
0.9000 5.2000 0.0887
0.9000 5.3000 0.0996
0.9000 5.4000 0.0797
0.9000 5.5000 0.0885
